SYMBOL,Log2FC
PTGIR,4.3370391566204045
EPSTI1,2.398519609066056
TENM4,4.156466910978583
IRAG2,5.344093914154354
PPP3CC,2.5715044102574267
ATP10D,3.3370391566204036
RARB,4.963821833036187
PTPN13,4.963821833036187
WFDC1,4.042810129183015
GSN,2.301590757235506
IL2RB,4.767901623
GBP5,4.502241747820313
MZB1,4.548784333757343
CSGALNACT1,4.078464399
ADAM8,3.7982752721044486
DKK2,5.534978534232313
STX11,5.051497351377041
SIGLEC12,5.459029680999015
CSGALNACT2,2.7488089420653368
PRELP,4.749042595809614
ABCC4,2.430412091022827
ATP6V1B2,2.4938669988631608
TSPAN33,2.5399343312565565
ROBO1,2.5862259159641927
CMKLR1,4.308470004423633
PIK3CG,4.3491119889209795
CHST3,4.3491119889209795
OSCAR,4.812512509761221
HIVEP3,3.6141487476659195
MEDAG,4.129499863378314
LAMC1,2.2412831085705784
SULF2,2.2540222204012568
LIMD2,2.8575554688161926
SDK1,4.675841070072163
TIAM1,4.864286159485274
IL6ST,2.3507885667283626
TAGAP,4.002138765
SIGLEC9,4.408005677974548
MDGA1,4.156466910978583
SLFN12,5.464589206340915
PLEKHG1,3.0364671348679533
SYNE3,4.1881757707059215
SLAMF7,4.394626648173347
TRAF3IP3,4.134440604648583
TTC39C,3.593199481356745
LIFR,3.7856292156102738
P2RX7,4.510103865593283
